axis,pole,reference_type,reference,definition
ai,ai,wikipedia,artificial intelligence,"Artificial intelligence (AI) is the capability of computational systems to perform tasks typically associated with human intelligence, such as learning, reasoning, problem-solving, perception, and decision-making. It is a field of research in computer science that develops and studies methods and software that enable machines to perceive their environment and use learning and intelligence to take actions that maximize their chances of achieving defined goals."
longterm_shortterm,longterm,paper,Value Destruction and Financial Reporting Decisions,"CFOs argue that the system that is, financial market pressures and overreactions encourages decisions that at times destroy long-term value to meet earnings targets."
longterm_shortterm,longterm,paper,The Influence of Institutional Investors on Myopic R&D Investment Behavior,"Others argue that the large stockholdings and sophistication of institutional investors allow them to monitor and discipline managers, ensuring that managers choose investment levels to maximize long-run value rather than to meet short-term earnings goals."
longterm_shortterm,shortterm,paper,The Influence of Institutional  Investors on Myopic R&D  Investment Behavior,"Myopic investment behavior (or ‘managerial myopia’) refers to underinvestment in long-term, intangible projects such as research and development, advertising, and employee training for the purposes of meeting short-term goals."
longterm_shortterm,shortterm,paper,Time Horizon of Investments in the Resource Allocation Process: Review and Framework for Next Steps,Short-termism as the extent to which investment actions aim at desirable near-term outcomes at the expense of later outcomes.
international_domestic,international,wikipedia,international business,"International business refers to the trade of goods and service goods, services, technology, capital and/or knowledge across national borders and at a global or transnational scale. It includes all commercial activities that promote the transfer of goods, services and values globally. It may also refer to a commercial entity that operates in different countries."
international_domestic,international,paper,International Diversification: Effects on Innovation and Firm Performance in Product-Diversified Firms,"International diversification may be defined as expansion across the borders of global regions and countries into different geographic locations, or markets. Thus, a firm's level of international diversification is reflected by the number of different markets in which it operates and their importance to the firm."
international_domestic,international,paper,A three-stage theory of international expansion,"International expansion allows the firm to capture economies of scale, or geographic scope."
international_domestic,international,paper,A perspective on regional and global strategies  of multinational enterprises,Multinational enterprises produce and/or distribute products and/or services across national borders.
international_domestic,international,paper,Multinationality and performance: A synthetic review and research agenda,A multinational enterprise is one that owns or controls facilities in more than one country
international_domestic,international,nasdaq,Foreign corporation,A corporation conducting business in another country from the one it is chartered in and that abides by the laws of another country
international_domestic,domestic,wikipedia,domestic market,"A domestic market, also referred to as an internal market or domestic trading, is the supply and demand of goods, services, and securities within a single country. In domestic trading, a firm faces only one set of competitive, economic, and market issues and essentially must deal with only one set of customers, although the company may have several segments in a market."
international_domestic,domestic,paper,International Diversification: Effects on Innovation and Firm Performance in Product-Diversified Firms,Firms operating only in domestic markets may find it difficult or time consuming to recoup such initial investments.
international_domestic,domestic,nasdaq,Domestic corporation,"A corporation that is conducting business and is based in the country in which it is established, as opposed to a foreign corporation."
exploration_exploitation,exploration,paper,"Organizational Ambidexterity: Past, Present and Future","Exploration was about search, discovery, autonomy, and innovation"
exploration_exploitation,exploration,paper,Exploration and Exploitation in Organizational Learning,"Exploration includes things captured by terms such as search, variation, risk taking, experimentation, play, flexibility, discovery, innovation"
exploration_exploitation,exploration,paper,Exploration and Exploitation in Organizational Learning,The essence of exploration is experimentation with new alternatives.
exploration_exploitation,exploration,paper,Exploration vs. exploitation: An empirical test of the ambidexterity hypothesis,"Exploration implies firm behaviors characterized by search, discovery, experimentation, risk taking and innovation, risk taking and innovation"
exploration_exploitation,exploitation,paper,"Organizational Ambidexterity: Past, Present and Future","Exploitation was about efficiency, control, certainty, and variance reduction"
exploration_exploitation,exploitation,paper,Exploration and Exploitation in Organizational Learning,"Exploitation includes such things as refinement, choice, production, efficiency, selection, implementation, execution."
exploration_exploitation,exploitation,paper,Exploration and Exploitation in Organizational Learning,"The essence of exploitation is the refinement and extension of existing competences, technologies, and paradigms."
exploration_exploitation,exploitation,paper,Exploration vs. exploitation: An empirical test of the ambidexterity hypothesis,"Exploitation implies firm behaviors characterized by refinement, implementation, efficiency, production and selection"
diversification_specialization,diversification,paper,Diversification or specialization: The role of risk,"Under a strategy of diversification, a management attempts to maintain a variety of operations across different industries to offset particular industry problems and to moderate the response to changes in general market conditions."
diversification_specialization,diversification,paper,Diversification or specialization: The role of risk,"Diversification has ability to reduce company specific risk, to reduce market volatility, to increase the expected market rate of return, or to achieve a combination of these goals."
diversification_specialization,diversification,nasdaq,Diversification,"Dividing investment funds among a variety of securities with different risk, reward, and correlation statistics so as to minimize unsystematic risk."
diversification_specialization,specialization,paper,Diversification or specialization: The role of risk,Managements that follow an alternative strategy of market specialization emphasize a particular market and strive to be a low cost producer in that area.
diversification_specialization,specialization,paper,Diversification or specialization: The role of risk,The basic goal is to raise the expected rate of return by reducing the company’s costs.
ESG,ESG,wikipedia,"Environmental, social, and governance","Environmental, social, and governance (ESG) is shorthand for an investing principle that prioritizes environmental issues, social issues, and corporate governance. Investing with ESG considerations is sometimes referred to as responsible investing or, in more proactive cases, impact investing. The term is also frequently used interchangeably with corporate social responsibility and sustainability, although these concepts have different foci, origins and applications."
covid,covid,wikipedia,COVID-19,"Coronavirus disease 2019 (COVID-19) is a contagious disease caused by the coronavirus SARS-CoV-2. In January 2020, the disease spread worldwide, resulting in the COVID-19 pandemic.The symptoms of COVID‑19 can vary but often include fever, fatigue, cough, breathing difficulties, loss of smell, and loss of taste. Symptoms may begin one to fourteen days after exposure to the virus. At least a third of people who are infected do not develop noticeable symptoms. Of those who develop symptoms noticeable enough to be classified as patients, most (81%) develop mild to moderate symptoms (up to mild pneumonia), while 14% develop severe symptoms (dyspnea, hypoxia, or more than 50% lung involvement on imaging), and 5% develop critical symptoms (respiratory failure, shock, or multiorgan dysfunction). Older people have a higher risk of developing severe symptoms. Some complications result in death. Some people continue to experience a range of effects (long COVID) for months or years after infection, and damage to organs has been observed. Multi-year studies on the long-term effects are ongoing. COVID‑19 transmission occurs when infectious particles are breathed in or come into contact with the eyes, nose, or mouth. The risk is highest when people are in close proximity, but small airborne particles containing the virus can remain suspended in the air and travel over longer distances, particularly indoors. Transmission can also occur when people touch their eyes, nose, or mouth after touching surfaces or objects that have been contaminated by the virus. People remain contagious for up to 20 days and can spread the virus even if they do not develop symptoms. Testing methods for COVID-19 to detect the virus's nucleic acid include real-time reverse transcription polymerase chain reaction (RT‑PCR), transcription-mediated amplification, and reverse transcription loop-mediated isothermal amplification (RT‑LAMP) from a nasopharyngeal swab. Several COVID-19 vaccines have been approved and distributed in various countries, many of which have initiated mass vaccination campaigns. Other preventive measures include physical or social distancing, quarantining, ventilation of indoor spaces, use of face masks or coverings in public, covering coughs and sneezes, hand washing, and keeping unwashed hands away from the face. While drugs have been developed to inhibit the virus, the primary treatment is still symptomatic, managing the disease through supportive care, isolation, and experimental measures. The first known case was identified in Wuhan, China, in December 2019. Most scientists believe that the SARS-CoV-2 virus entered into human populations through natural zoonosis, similar to the SARS-CoV-1 and MERS-CoV outbreaks, and consistent with other pandemics in human history. Social and environmental factors including climate change, natural ecosystem destruction and wildlife trade increased the likelihood of such zoonotic spillover."